time,lake,tow.depth.ft,volume (cubic ft),volume (L),split,perc.count,daphnia.dens,cal.dens,cyc.dens,nau.dens,asp.dens,holo.dens,poly.dens,bos.dens,cerio.dens,ker.dens,kell.dens,chy.dens,daphnia.rich,cal.rich,cyc.rich,nau.rich,asp.rich,holo.rich,poly.rich,bos.rich,cerio.rich,ker.rich,kell.rich,chy.rich,richness,temp..C,DO..perc,DO..mg.L,spc,cond,pH,DOC,Chlorophyll 1 (ug/L)
3,Convict,59,46.33849164,1312.1578,3,0.125,0.006096828,0.006096828,0.006096828,0.006096828,0.006096828,0,0,0.006096828,0,0.006096828,0,0,1,1,1,1,1,0,0,1,0,1,0,0,7,18.2,76.7,7.16,164.8,143.5,8.34,0.8,0.20
3,Cooney,42.7,33.53650158,949.6464079,2,0.25,0.004212094,0.004212094,0.004212094,0.004212094,0.004212094,0,0,0.004212094,0,0.004212094,0.004212094,0.004212094,1,1,1,1,1,0,0,1,0,1,1,1,9,16.7,76.8,7.43,112.9,95.0,8.61,1.0,0.43
3,Eastern Brook,26,20.42035225,578.2390305,NA,1,0.001729389,0.001729389,0.001729389,0.001729389,0,0.001729389,0,0.001729389,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,6,18.9,74.2,6.86,21.0,18.5,8.56,3.45,1.05
3,Serene,24,18.84955592,533.7591051,2,0.25,0.007494017,0.007494017,0.007494017,0.007494017,0,0.007494017,0.007494017,0.007494017,0.007494017,0.007494017,0.007494017,0.007494017,1,1,1,1,0,1,1,1,1,1,1,1,11,19.7,71.9,6.56,18.5,16.6,8.36,3.1,1.12
3,Virginia,42.7,33.53650158,949.6464079,3,0.125,0.008424188,0.008424188,0.008424188,0.008424188,0.008424188,0,0,0.008424188,0.008424188,0.008424188,0.008424188,0,1,1,1,1,1,0,0,1,1,1,1,0,9,18.7,81.4,7.48,93.0,81.9,8.48,1.1,0.35
4,Blue,42.7,33.53650158,949.6464079,3,0.125,0.008424188,0.008424188,0.008424188,0.008424188,0.008424188,0,0,0.008424188,0,0.008424188,0.008424188,0.008424188,1,1,1,1,1,0,0,1,0,1,1,1,9,16.33,75.6,7.41,110.7,92.3,7.99,1.9,0.02
4,Convict,55.8,43.82521752,1240.989919,1,0.5,0.001611617,0.001611617,0.001611617,0.001611617,0.001611617,0,0,0.001611617,0,0.001611617,0,0,1,1,1,1,1,0,0,1,0,1,0,0,7,18.37,78.9,7.41,178.5,156.0,8.48,51.9,0.81
4,Cooney,39.4,30.94468764,876.2545309,1,0.5,0.002282442,0.002282442,0.002282442,0.002282442,0,0,0,0.002282442,0,0.002282442,0.002282442,0,1,1,1,1,0,0,0,1,0,1,1,0,7,16.18,74.5,7.33,126.8,105.5,7.77,99.2,0.87
4,Eastern Brook,26.2,20.57743188,582.6870231,1,0.5,0.003432374,0.003432374,0.003432374,0.003432374,0,0,0,0.003432374,0.003432374,0.003432374,0.003432374,0.003432374,1,1,1,1,0,0,0,1,1,1,1,1,9,16.04,67.2,6.63,23.0,19.0,7.70,3.10,1.59
4,Serene,22.9,17.98561794,509.2951461,3,0.125,0.015707984,0.015707984,0,0.015707984,0,0.015707984,0,0.015707984,0.015707984,0.015707984,0.015707984,0,1,1,0,1,0,1,0,1,1,1,1,0,8,16.89,69.2,6.71,20.1,17.0,7.94,3.00,1.55
4,Virginia,42.7,33.53650158,949.6464079,NA,1,0.001053024,0.001053024,0.001053024,0.001053024,0.001053024,0,0,0.001053024,0,0.001053024,0,0,1,1,1,1,1,0,0,1,0,1,0,0,7,17.68,77.4,7.37,102.1,87.8,8.61,66.6,0.34
5,Blue,42.7,33.53650158,949.6464079,1,0.5,0.002106047,0.002106047,0.002106047,0.002106047,0.002106047,0,0,0.002106047,0,0.002106047,0.002106047,0,1,1,1,1,1,0,0,1,0,1,1,0,8,18.5,73.1,7.33,115.1,93.6,7.93,1.1,0.55
5,Convict,49.2,38.64158964,1094.206165,2,0.25,0.003655618,0.003655618,0.003655618,0.003655618,0,0,0,0.003655618,0,0.003655618,0.003655618,0,1,1,1,1,0,0,0,1,0,1,1,0,7,20.9,73.1,7.35,172.3,139.8,8.03,2.00,0.39
5,Cooney,42.7,33.53650158,949.6464079,3,0.125,0.008424188,0,0.008424188,0.008424188,0.008424188,0,0,0.008424188,0,0.008424188,0.008424188,0.008424188,1,0,1,1,1,0,0,1,0,1,1,1,8,17.9,69.8,7.19,177.3,139.8,8.07,31.3,0.00
5,Eastern Brook,26.2,20.57743188,582.6870231,1,0.5,0.003432374,0,0.003432374,0.003432374,0.003432374,0,0,0.003432374,0,0,0.003432374,0.003432374,1,0,1,1,1,0,0,1,0,0,1,1,7,18.1,64.8,6.87,27.5,21.0,8.11,3.2,1.38
5,Serene,22.9,17.98561794,509.2951461,2,0.25,0.007853992,0.007853992,0,0.007853992,0,0.007853992,0,0,0.007853992,0.007853992,0,0,1,1,0,1,0,1,0,0,1,1,0,0,6,18.8,67.8,6.97,20.8,16.5,7.90,3.0,1.98
5,Virginia,42.7,33.53650158,949.6464079,3,0.125,0.008424188,0,0.008424188,0.008424188,0.008424188,0,0,0.008424188,0.008424188,0.008424188,0.008424188,0.008424188,1,0,1,1,1,0,0,1,1,1,1,1,9,19.5,75.6,7.41,105.4,87.9,8.48,7.75,0.83
